"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: matrixSize","Param: sparsity"
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"25,988746",NaN,"ms/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1149,199395",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"39181828,984677",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1157,142444",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"39440010,147901",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,613705",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"20934,075949",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"27,000000",NaN,"counts",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"34,000000",NaN,"ms",100,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"10,017882",NaN,"ms/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"930,794066",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"12248637,277624",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"927,654600",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"12207604,847525",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,839710",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"11052,753663",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"26,000000",NaN,"counts",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"32,000000",NaN,"ms",100,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"2,262557",NaN,"ms/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"759,023294",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"2251591,771220",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"745,665601",NaN,"MB/sec",100,0.8
