"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: MATRIX_SIZE","Param: NUM_THREADS"
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"98,000000",NaN,"ms",10,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"0,983381","0,065506","ms/op",100,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"93,213471","5,970575","MB/sec",100,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"95865,002685","30,097035","B/op",100,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"20,000000",NaN,"counts",100,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"55,000000",NaN,"ms",100,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"0,652628","0,040999","ms/op",100,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"141,078382","8,599952","MB/sec",100,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"96286,553472","25,457321","B/op",100,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"28,000000",NaN,"counts",100,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"49,000000",NaN,"ms",100,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"0,528435","0,029430","ms/op",100,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"175,946848","9,944010","MB/sec",100,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"97289,452176","63,834020","B/op",100,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"140,000000",NaN,"counts",100,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"104,000000",NaN,"ms",100,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"3403,439360","1094,532058","ms/op",1000,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"7,317085","2,664520","MB/sec",1000,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"24188795,200000","331,091184","B/op",1000,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"10,000000",NaN,"counts",1000,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"94,000000",NaN,"ms",1000,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"1577,165728","831,035025","ms/op",1000,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"11,311618","2,557277","MB/sec",1000,2
